土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,count_floor,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age,time_index
臺北市中山區中山北路一段８３巷１３號,8600000.0,273189.0,0.0,0.0,63000,中山區,房地(土地+建物),25.05006732,121.5240072,正得里,6.14,商,,,1120710,土地1建物1車位0,五層,5,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,740129,31.48,0,0,0,無,有,,陽台外推；頂樓加蓋；夾層；,RPPNMLOJQHIGFCA57DA,22.37,0.0,3.69,有,505.0,2023/7/10,7,31.74279455,28.63969205,35.3875768,0.0,44.54918245,63000040003.0,0.151625646,0.554542692,76.72,24765.25,51.00083401,37.23936612,1,0,0,0,0,2,1,0,0,3,51,53,0,6,2,2,0,1,0,51,"c(121.524007218668, 25.0500673172297)",臺北捷運中山站_G14_R11,565.4733942,883.6670686,756.7837517,38,3
臺北市中山區中山北路一段８３巷９號,9360000.0,157735.0,0.0,0.0,63000,中山區,房地(土地+建物),25.05024619,121.5233996,正得里,9.89,商,,,1120708,土地2建物1車位0,四層,4,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,630604,59.34,2,1,1,有,有,,陽台外推；其他增建；,RPXNMLQKQHIGFCA68DA,45.76,0.0,8.0,有,,2023/7/8,9,32.84949446,29.39159834,37.33035124,0.0,53.42238776,63000040003.0,0.151625646,0.554542692,76.72,24765.25,51.00083401,37.23936612,0,0,0,0,0,2,1,0,0,3,53,56,0,6,2,2,0,1,0,53,"c(121.523399614507, 25.0502461870435)",臺北捷運中山站_G14_R11,504.2671349,832.7660326,707.4593627,49,3
臺北市中山區中山北路三段２５號,1800000.0,187696.0,0.0,0.0,63000,中山區,房地(土地+建物),25.06523701,121.522477,晴光里,0.46,商,,,1120709,土地2建物1車位0,二層,2,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,670121,9.59,0,0,0,無,有,,,RPPOMLPLPHIGFCA87DA,5.41,0.0,0.0,有,,2023/7/9,10,31.96143463,29.18428801,35.09331141,0.0,59.21031121,63000040011.0,0.143032034,0.515405019,73.13,49418.72,48.32601535,34.49506036,1,0,0,0,1,0,0,0,0,0,47,48,0,11,0,3,0,4,0,47,"c(121.522477018425, 25.0652370113252)",臺北捷運民權西路站_O11_R13,421.9077303,2077.719054,2023.226237,45,3
臺北市中山區中山北路二段１１６巷１２號,18590000.0,232114.0,0.0,0.0,63000,中山區,房地(土地+建物),25.06091702,121.521396,集英里,28.14,住,,,1120704,土地3建物1車位0,四層,4,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,741212,80.09,5,0,5,有,無,,陽台外推；其他增建；,RPTOMLOJPHIGFCA97DA,65.63,0.0,7.83,無,,2023/7/4,12,31.28414104,27.11934938,35.67338626,0.0,29.62221496,63000040008.0,0.12927883,0.514955135,80.54,19971.22,54.24403182,33.02387267,0,0,0,0,0,0,0,0,0,0,67,86,0,10,0,2,0,7,0,67,"c(121.521396004372, 25.0609170203381)",臺北捷運民權西路站_O11_R13,268.5155214,1590.878616,1533.366993,38,3
臺北市中山區中山北路二段５９巷７號,26100000.0,248552.0,26.86,2500000.0,63000,中山區,房地(土地+建物)+車位,25.05597601,121.523465,中山里,15.2,商,,,1120718,土地1建物1車位1,七層,7,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041127,121.81,2,1,1,有,有,升降平面,,RPQNMLRJQHIGFCA08EA,51.62,7.23,3.79,有,,2023/7/18,15,29.51481151,27.85390644,33.94772196,5.226127142,37.70108382,63000040006.0,0.146443515,0.507402639,73.41,40896.36,42.89953369,31.70835099,0,0,0,0,0,0,1,0,0,3,78,82,0,8,2,1,0,4,0,78,"c(121.523464993352, 25.0559760141447)",臺北捷運雙連站_R12,353.2798366,1220.491106,1128.754031,8,3
臺北市中山區中山北路二段６２巷８號,15000000.0,254755.0,0.0,0.0,63000,中山區,房地(土地+建物),25.05664699,121.522076,民安里,10.46,住,,,1120819,土地1建物1車位0,三層,3,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,960716,58.88,1,1,1,有,有,,陽台外推；其他增建；,RPXNMLSLQHIGFCA98DA,23.72,0.0,6.66,有,219.0,2023/8/19,16,29.15277373,25.84485062,33.54650971,1.893978706,33.87430732,63000040004.0,0.147832817,0.531475748,87.14,19125.48,61.14413074,43.98216937,0,0,0,0,0,1,0,0,0,3,82,77,0,10,2,1,0,7,0,82,"c(121.522076028177, 25.0566469854939)",臺北捷運雙連站_R12,196.3745155,1197.728004,1119.244098,16,3
臺北市中山區中山北路二段６５巷１０號,38580000.0,268888.0,41.12,0.0,63000,中山區,房地(土地+建物)+車位,25.057024,121.524004,中山里,13.04,商,,,1120721,土地1建物1車位1,十一層,11,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090428,143.48,2,2,1,有,有,坡道平面,,RPWNMLLKQHIGFCA08DA,55.72,3.2,9.57,有,841.0,2023/7/21,17,30.28552813,26.70809585,34.46544286,0.187533797,37.46795969,63000040006.0,0.146443515,0.507402639,73.41,40896.36,42.89953369,31.70835099,0,0,0,0,0,0,1,0,0,1,80,64,0,10,1,1,0,4,0,80,"c(121.524004033545, 25.0570240034987)",臺北捷運雙連站_R12,356.1987408,1344.834008,1255.088472,3,3
臺北市中山區五常街１號,24100000.0,213539.0,0.0,0.0,63000,中山區,房地(土地+建物),25.064429,121.537395,行孝里,34.0,住,,,1120714,土地1建物1車位0,四層,4,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,681210,112.86,3,2,2,有,無,,,RPQNMLOKQHIGFCA77DA,91.65,0.0,21.21,無,,2023/7/14,18,31.52506838,28.37934814,34.80015706,0.0,29.45338923,63000040026.0,0.111311518,0.465601649,91.11,35681.21,44.64166107,29.9732083,0,1,0,0,0,1,1,0,0,0,46,39,0,9,1,1,1,2,3,47,"c(121.537394962058, 25.0644289958591)",臺北捷運行天宮站_O09,623.8405934,2880.187972,2772.577692,44,3
臺北市中山區八德路二段１００號,62080000.0,250890.0,57.51,5000000.0,63000,中山區,房地(土地+建物)+車位,25.04581631,121.5362087,朱園里,22.41,住,,,1120715,土地2建物1車位2,十層,10,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1010905,285.02,3,2,2,有,有,坡道平面,,RPWOMLMLQHIGFCA38DA,129.21,9.11,12.53,有,,2023/7/15,19,31.8295842,29.00949155,34.80481571,0.0,13.24034183,63000040036.0,0.178653113,0.603303685,82.12,16118.29,52.37444481,34.43799111,0,0,0,0,1,2,2,0,0,0,21,34,0,3,0,2,0,0,0,21,"c(121.536208671302, 25.0458163093058)",臺北捷運忠孝新生站_BL14_O07,521.6150935,2077.296613,1950.707227,11,3
臺北市中山區八德路二段１６７巷５號,10000000.0,236911.0,0.0,0.0,63000,中山區,房地(土地+建物),25.04684699,121.538217,朱崙里,12.24,住,,,1120704,土地1建物1車位0,二層,2,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,841127,42.21,1,1,1,有,無,,,RPPNMLOLPHIGFCA67DA,29.53,2.83,3.53,有,,2023/7/4,20,30.98431176,26.73560264,35.91958987,0.0,26.98154842,63000040038.0,0.173033708,0.562546817,82.42,23336.39,50.15120965,34.57661289,0,0,0,0,0,2,2,0,0,0,20,33,0,5,1,1,0,1,0,20,"c(121.538216975303, 25.0468469900297)",臺北捷運忠孝新生站_BL14_O07,739.7908893,2272.557189,2144.449425,28,3
